Unit Type Key;          Name;               Symbol;     Key;                           Description;                             Conversion Type; Conversion Args
temperature;            Kelvin;             K;          kelvin;                        Kelvins;                                 LINEAR;          [(1.0), (-273.15)]
temperature;            Decikelvin;             dK;          decikelvin;                        0.10 * Kelvins;                                 LINEAR;          [(0.1), (-273.15)]
temperature;            Degrees Rankine;    °R;         rankine;                       Degrees Rankine;                         LINEAR;          [0.5555555555555556, -273.15]
dtdt;                   °C/s;               °C/s;       celsius-per-second;            Degrees Celsius per Second;              NOOP;            []
dtdt;                   °C/m;               °C/m;       celsius-per-minute;            Degrees Celsius per Minute;              LINEAR;          [0.016666666666666666]
dtdt;                   °C/h;               °C/h;       celsius-per-hour;              Degrees Celsius per Hour;                LINEAR;          [0.0002777777777777778]
flow;                   Liters per Minute;  SLPM;       slpm;                          Standard Liters per Minute;              NOOP;            []
ph;                     pH;                 pH;         ph;                            pH;                                      NOOP;            []
percent;                Percent;            %;          percent;                       Percent;                                 NOOP;            []
percent;                Decimal Fraction;   ;           decimal;                       Decimal Fraction;                        LINEAR;          [100.0]
pressure;               Pascal;             Pa;         pascal;                        Pascals;                                 NOOP;            []
pressure;               Kilopascal;         kPa;        kilopascal;                    Kilopsacals;                             LINEAR;          [1000.0]
pressure;               PSI;                psi;        psi;                           Pounds per Square Inch;                  LINEAR;          [6894.757293168]
pressure;               Bar;                b;          bar;                           Bars;                                    LINEAR;          [100000.0]
pressure;               Atmosphere;         atm;        atmosphere;                    Atmospheres;                             LINEAR;          [101325.0]
viscosity;              Millipascal-second; mPa.s;      millipascal-second;            Millipascal-Seconds;                     LINEAR;          [0.001]
mass;                   Microgram;          µg;         microgram;                     Micrograms;                              LINEAR;          [0.000001]
mass;                   Milligram;          mg;         milligram;                     Milligrams;                              LINEAR;          [0.001]
mass;                   Gram;               g;          gram;                          Grams;                                   NOOP;            []
mass;                   Kilogram;           kg;         kilogram;                      Kilograms;                               LINEAR;          [1000]
mass;                   Pounds;             lbs;        pound;                         Pounds;                                  LINEAR;          [453.59237]
mass;                   Slug;               slug;       slug;                          Slugs;                                   LINEAR;          [14593.9]
area;                   Square mm;          mm²;        square-mm;                     Square Millimeters;                      LINEAR;          [0.01]
area;                   Square cm;          cm²;        square-cm;                     Square Centimeters;                      NOOP;            []
area;                   Square m;           m²;         square-m;                      Square Meters;                           LINEAR;          [10000]
area;                   Square inch;        in²;        square-in;                     Square Inches;                           LINEAR;          [6.4516]
volume;                 Cubic mm;           mm³;        cubic-mm;                      Cubic Millimeters;                       LINEAR;          [0.001]
volume;                 Cubic cm;           cm³;        cubic-cm;                      Cubic Centimeters;                       NOOP;            []
volume;                 Cubic m;            m³;         cubic-m;                       Cubic Meters;                            LINEAR;          [1000000]
volume;                 Liter;              L;          liter;                         Liters;                                  LINEAR;          [1000]
volume;                 Milliliter;         mL;         milliliter;                    Milliliters;                             NOOP;            []
volume;                 Microliter;         µL;         microliter;                    Microliters;                             LINEAR;          [0.001]
volume;                 Nanoliter;          nL;         nanoliter;                     Nanoliters;                              LINEAR;          [0.000001]
volume;                 Cubic inch;         in³;        cubic-in;                      Cubic Inches;                            LINEAR;          [16.387064]
length;                 Kilometer;          km;         kilometer;                     Kilometers;                              LINEAR;          [1000]
length;                 Meter;              m;          meter;                         Meters;                                  NOOP;            []
length;                 Centimeter;         cm;         centimeter;                    Centimeters;                             LINEAR;          [0.01]
length;                 Millimeter;         mm;         millimeter;                    Millimeteres;                            LINEAR;          [0.001]
length;                 Micron;             μm;         micron;                        Microns;                                 LINEAR;          [0.000001]
length;                 Nanometer;          nm;         nanometer;                     Nanometers;                              LINEAR;          [0.000000001]
length;                 Angstrom;           Å;          angstrom;                      Angstroms;                               LINEAR;          [0.0000000001]
length;                 Foot;               ft;         foot;                          Feet;                                    LINEAR;          [0.3048]
length;                 Inch;               in;         inch;                          Inches;                                  LINEAR;          [0.0254]
length;                 Mile;               mi;         mile;                          Miles;                                   LINEAR;          [1609.344]
length;                 Nautical Mile;      mi (n);     nautical-mile;                 Nautical Miles;                          LINEAR;          [1852]
force;                  Newton;             N;          newton;                        Newtons;                                 NOOP;            []
force;                  Pounds-Force;       lbf;        pound-force;                   Pounds-Force;                            LINEAR;          [4.448222]
force;                  Dyne;               dyn;        dyne;                          Dynes;                                   LINEAR;          [0.00001]
force;                  Poundal;            pdl;        poundal;                       Poundals;                                LINEAR;          [0.1382550]
torque;                 Inch-Pound;         in-lbf;     inch-pound;                    Inch-Pounds;                             NOOP;            []
areal-density;          mg/cm²;             mg/cm²;     milligram-per-square-cm;       Milligrams per Square Centimeters;       LINEAR;          [0.001]
areal-density;          g/cm²;              g/cm²;      gram-per-square-cm;            Grams per Square Centimeters;            NOOP;            []
areal-density;          kg/m²;              kg/m²;      kilogram-per-square-m;         Kilograms per Square Meters;             LINEAR;          [0.1]
density;                g/cm³;              g/cm³;      gram-per-cubic-cm;             Grams per Cubic Centimeters;             NOOP;            []
density;                kg/m³;              kg/m³;      kilogram-per-cubic-m;          Kilograms per Cubic Meters;              LINEAR;          [0.001]
concentration;          mol/m³;             mol/m³;     mol-per-cubic-m;               Mol per Cubic Meters;                    LINEAR;          [0.001]
concentration;          mol/L;              mol/L;      mol-per-liter;                 Mol per Liter;                           NOOP;            []
concentration;          ppm;                ppm;        ppm;                           Parts per Million;                       NOOP;            []
frequency;              Millihertz;         mHz;        millihertz;                    Millihertz;                              LINEAR;          [0.001]
frequency;              Hertz;              Hz;         hertz;                         Hertz;                                   NOOP;            []
frequency;              Kilohertz;          kHz;        kilohertz;                     Kilohertz;                               LINEAR;          [1000]
frequency;              Megahertz;          MHz;        megahertz;                     Megahertz;                               LINEAR;          [1000000]
frequency;              Gigahertz;          GHz;        gigahertz;                     Gigahertz;                               LINEAR;          [1000000000]
